codenumber,name,Date,bookvalue,ROE,D_rate
601988.SH,中国银行,2016-09-30,4.38,0.1054,0.31
601988.SH,中国银行,2016-06-30,4.24,0.1054,0.31
601988.SH,中国银行,2016-03-31,4.24,0.1054,0.31
601988.SH,中国银行,2015-12-31,4.09,0.1054,0.31
601988.SH,中国银行,2015-09-30,3.94,0.1054,0.31
601988.SH,中国银行,2015-06-30,3.81,0.1054,0.31
601988.SH,中国银行,2015-03-31,3.83,0.1054,0.31
601988.SH,中国银行,2014-12-31,3.7,0.1178,0.33
601988.SH,中国银行,2014-09-30,3.6,0.1178,0.33
601988.SH,中国银行,2014-06-30,3.46,0.1178,0.33
601988.SH,中国银行,2014-03-31,3.48,0.1178,0.33
601988.SH,中国银行,2013-12-31,3.31,0.122,0.35
601988.SH,中国银行,2013-09-30,3.19,0.122,0.35
601988.SH,中国银行,2013-07-01,3.04,0.122,0.35
601988.SH,中国银行,2013-04-01,3.1,0.122,0.35
601988.SH,中国银行,2012-12-31,2.95,0.1389,0.35
601988.SH,中国银行,2012-09-28,2.84,0.1389,0.35
601988.SH,中国银行,2012-06-29,2.71,0.1389,0.35
601988.SH,中国银行,2012-03-30,3.15,0.1389,0.35
601988.SH,中国银行,2011-12-30,2.59,0.1212,0.35
